,beer_name,rating,review,Filtered review,sim_score
0,Heavy Mettle,4.74,"

A: Hazy gold/yellow with rich white head and sticky lacing.
N: Loads of citrus, hops, tropical tones, and pine.
T: Follows the nose a lot, tropical forward with solid hops hit, some bite but silky at the same time.
M: Medium
O: Loved it, drank so clean and easy, hard to believe it' s almost 10% ABV.

 "," : Hazy gold/yellow rich white head sticky lacing . N : Loads citrus , hops , tropical tones , pine . : Follows nose lot , tropical forward solid hops hit , bite silky time . : Medium : Loved , drank clean easy , hard believe ' almost 10 % ABV .",0.8791057988728319
1,Abrasive Ale,4.77,"

Poured from a 16 oz can into a snifter. Canned 10/26/16.

A: Pours a hazy, golden, reddish-orange color with a one-inch, foamy, paper white head with short retention. Thin, white, bubbly lacing throughout.

S: Aromas of tropical fruits and citrus. Pineapple, orange, tangerine, grapefruit, guava, and melons. Sweet and caramel malt notes. Milder piney and earthy hop notes as well.

T: Strong notes of tangerine and grapefruit followed by tropical fruit notes of pineapple, mango, and melons. The oats bring about sweet, caramel, and cracker malt undertones. Ends with piney, earthy, and resinous hops accompanied by a lingering bitterness.

F: Medium bodied, smooth, and crisp with moderate carbonation. Finishes with a slight dryness.

O: Overall, this is a fantastic DIPA. One of my personal favorites for the category and definitely in my top rankings. The fruity/citrus notes of the Citra hops and sweetness from the oats are countered perfectly with the earthy bitterness that comes with the Warrior hops. Very drinkable. One of the few enjoyable parts of the cold MN winters. Definitely worth a try if you haven't had it or worth seeking out if you're not within distro.

 "," Poured 16 oz snifter . Canned 10/26/16 . : Pours hazy , golden , reddish-orange color one-inch , foamy , paper white head short retention . Thin , white , bubbly lacing throughout . : Aromas tropical fruits citrus . Pineapple , orange , tangerine , grapefruit , guava , melons . Sweet caramel malt notes . Milder piney earthy hop notes well . : Strong notes tangerine grapefruit followed tropical fruit notes pineapple , mango , melons . oats bring sweet , caramel , cracker malt undertones . Ends piney , earthy , resinous hops accompanied lingering bitterness . F : Medium bodied , smooth , crisp moderate carbonation . Finishes slight dryness . : Overall , fantastic DIPA . One personal favorites category definitely top rankings . fruity/citrus notes Citra hops sweetness oats countered perfectly earthy bitterness comes Warrior hops . drinkable . One enjoyable parts cold MN winters . Definitely worth try n't worth seeking 're within distro .",0.8726589256429857
2,Doubleganger,4.52,"

Serving: Can
Canned: Apr-2-2019 (Consumed Apr-24)


A:
It pours dirty orange with a finger of juice froth head.  Ok retention; isolated lacing specks. (4)

S:
Juice cocktail. Orange, mango, carrots, guava, papaya, etc. (4.5)

T:
Tastes like the smell would if it were skins instead of the fruit. Sweet hints but mainly light pithy bitterness. (4.5)

M:
Fuffy, medium bodied, juicy, moderate carbonation, coating hoppy-fruity finish. (4.5)

O:
Another world class IIPA from TH.
Looks, smells and tastes delectable; fruity while still beer, easy drinking but big, smooth and puffy-feeling. A joy to drink,it highlights both sides of the hops' character and drinks itself.
I think Alter Ego is still my favorite of their beers, but I didn't like Doppelganger as much. This, on the other hand, manages to magnify everything well, which results in an utterly delicious beer. (4.75)

 "," Serving : Canned : Apr-2-2019 ( Consumed Apr-24 ) : pours dirty orange finger juice froth head . Ok retention ; isolated lacing specks . ( 4 ) : Juice cocktail . Orange , mango , carrots , guava , papaya , etc . ( 4.5 ) : Tastes like smell would skins instead fruit . Sweet hints mainly light pithy bitterness . ( 4.5 ) : Fuffy , medium bodied , juicy , moderate carbonation , coating hoppy-fruity finish . ( 4.5 ) : Another world class IIPA TH . Looks , smells tastes delectable ; fruity still beer , easy drinking big , smooth puffy-feeling . joy drink , highlights sides hops ' character drinks . think Alter Ego still favorite beers , n't like Doppelganger much . , hand , manages magnify everything well , results utterly delicious beer . ( 4.75 )",0.8677908733769171
3,Blåbær Lambik,4.65,"

Vintage 2015

A: Pours a dark purple, with a ruby reddish hue. Head is less than half an inch high with pinkish and blueberry highlights; good retention, and beautiful lacing

S: Plethora of blueberries amidst barnyard hay. Excellent funk presence with sensible bitterness that’s all very lively, earthy, and aromatic: lemons, oak, strawberry jam, raspberries

T: The blueberries, berry skin and seed take the lead. Nicely acidic, tart, and funky with compliments of earthy grounds: hay, grass, oaky barnyard gobbledygook

M: Foremost crisp, clean, and perfectly balanced with a soft yet lively medium feel; earthy component brought forth graciously

O: Ridiculous amounts of blueberries yet cultured, and complex: lingering raspberries, grapes, strawberry jam, and lemon with a timely funk/tartness

 "," Vintage 2015 : Pours dark purple , ruby reddish hue . Head less half inch high pinkish blueberry highlights ; good retention , beautiful lacing : Plethora blueberries amidst barnyard hay . Excellent funk presence sensible bitterness ’ lively , earthy , aromatic : lemons , oak , strawberry jam , raspberries : blueberries , berry skin seed take lead . Nicely acidic , tart , funky compliments earthy grounds : hay , grass , oaky barnyard gobbledygook : Foremost crisp , clean , perfectly balanced soft yet lively medium feel ; earthy component brought forth graciously : Ridiculous amounts blueberries yet cultured , complex : lingering raspberries , grapes , strawberry jam , lemon timely funk/tartness",0.8668660583555157
4,Congress Street IPA,3.84,"

Canned 10/27/16; drank 11/5/16 @ the Yarchives.

Opaque light orange appearance.

Huge, fluffy white head; thick, frothy lace.

Mango, mint & fresh ganja notes in the nose.

Medium mouthfeel.

Prickly grapefruit & honey flavors up front; mild mint notes on the finish.

Interesting & refreshing, but not revelatory.

 "," Canned 10/27/16 ; drank 11/5/16 @ Yarchives . Opaque light orange appearance . Huge , fluffy white head ; thick , frothy lace . Mango , mint & fresh ganja notes nose . Medium mouthfeel . Prickly grapefruit & honey flavors front ; mild mint notes finish . Interesting & refreshing , revelatory .",0.8663518363757112
5,Thicket,4.87,"

375ml bottle poured into a large stem.

A: Pours dark purple with ruby edges. A thin purple-hued head forms and quickly fades into a lingering collar.
S: Tart, funky, and full of freshly pureed fruit.
T: Extremely layered; tartness up front moving quickly into a nice full funk, bright blackberries, wood/oak elements, sour fruit skins/tannins, blackberry seeds/earthiness/slight balsamic quality.
M: Well carbonated but not overly done, initially very bubbly, but quickly fades; medium bodied with a definite sweet/fruity viscosity.
O: Simply fantastic, expertly crafted wild ale with incredible fresh fruit notes balanced with the perfect level of funk/tartness.

 "," 375ml bottle poured large stem . : Pours dark purple ruby edges . thin purple-hued head forms quickly fades lingering collar . : Tart , funky , full freshly pureed fruit . : Extremely layered ; tartness front moving quickly nice full funk , bright blackberries , wood/oak elements , sour fruit skins/tannins , blackberry seeds/earthiness/slight balsamic quality . : Well carbonated overly done , initially bubbly , quickly fades ; medium bodied definite sweet/fruity viscosity . : Simply fantastic , expertly crafted wild ale incredible fresh fruit notes balanced perfect level funk/tartness .",0.866028165785646
6,Oude Geuze Vintage,4.9,"

Side-by-side at Lambik O Droom. All of them had that signature green apple and barnyard funk but I'm gonna focus more on what distinguishes them from each other/from typical bottles of Oude Geuze.
2003 OGV: orange-gold color, full and thicker body, plenty of carb, old and musty, huge brett pineapple, shellfish notes, super unique and absolutely delicious: 4.9
2004 OGV Magnum: bright and well-balanced. Apparently the bottles had a lot of off flavors originally and they were thinking they would have to dump these bottles. They held onto them, and I'm so glad they did. Totally turned the corner: 4.8
2008 OGV: tons of funk yet relatively mellow compared to the rest, smooth and absurdly balanced: 4.9
2010 OGV: super balanced but the least interesting of the five: 4.75
2012 OGV: Paint and drywall, smells and tastes like a new townhome, incredibly cheesy. In-your-face flavor: 4.8

 "," Side-by-side Lambik Droom . signature green apple barnyard funk 'm gon na focus distinguishes other/from typical bottles Oude Geuze . 2003 OGV : orange-gold color , full thicker body , plenty carb , old musty , huge brett pineapple , shellfish notes , super unique absolutely delicious : 4.9 2004 OGV Magnum : bright well-balanced . Apparently bottles lot flavors originally thinking would dump bottles . held onto , 'm glad . Totally turned corner : 4.8 2008 OGV : tons funk yet relatively mellow compared rest , smooth absurdly balanced : 4.9 2010 OGV : super balanced least interesting five : 4.75 2012 OGV : Paint drywall , smells tastes like new townhome , incredibly cheesy . In-your-face flavor : 4.8",0.8652425193923033
7,Apple Brandy Barrel Noir,4.4,"

12 oz, bottle purchased in OK. Poured into Kane chalice and allowed to warm.

L: Small light tan head. Leaves no lacing but does have a persistent cap and ring. Beer is dark black.

S: Apples, brandy barrel, roasted malts, chocolate, floral and citrus hoppiness

T: Well, this is something different. A big shot of apple brandy up front (as a NJeyan, I am very familiar with Laird's and this hits the mark) and that flavor persists throughout transitions to chocolate, roasted malts, and floral/citrus on the finish.

F: Not quite full-bodied, but in the neighborhood. Very lightly carbonated. Construction is so very well-done, as these are difficult flavors to merge. Balance is not quite there yet; it could use more aging to round things off.

O: Very high degree of difficulty and it pulls it off pretty nicely.

 "," 12 oz , bottle purchased OK . Poured Kane chalice allowed warm . L : Small light tan head . Leaves lacing persistent cap ring . Beer dark black . : Apples , brandy barrel , roasted malts , chocolate , floral citrus hoppiness : Well , something different . big shot apple brandy front ( NJeyan , familiar Laird 's hits mark ) flavor persists throughout transitions chocolate , roasted malts , floral/citrus finish . F : quite full-bodied , neighborhood . lightly carbonated . Construction well-done , difficult flavors merge . Balance quite yet ; could use aging round things . : high degree difficulty pulls pretty nicely .",0.8652133214343485
8,The Abyss,4.13,"

Review/rating logged about two months after having it.

Had this at about 3 years old, with a number of other imperial stouts. Although it was a great imperial stout, considering the price, I was disappointed.

 "," Review/rating logged two months . 3 years old , number imperial stouts . Although great imperial stout , considering price , disappointed .",0.8638859145971272
9,Crusher,4.36,"

DATE: September 23, 2018... OCCASION: sampling another of Jeff's Vermont pickups--FYI, this one is the 8% ABV... GLASSWARE: Duvel tulip... pours quite a bright, hazy lemon-yellow body alive with flecks of sediment and tiny, busy bubbles... its head is nearly four fingers of sudsy, soapy, cavernous white that caves in on itself while clinging to the glass--almost too attractive to disturb with a sip... prolonging that, first sniff is thick with juicy resin, lemon citrus, pineapple, mango, and papaya--despite the label, Crusher doesn't suggest any semblance of malt in its aroma... though I would have loved to experience this at 9.6%ABV, the 8% in my glass is plenty rousing, bitter, and Pavlovian in its mouth-watering trigger.... so much so, that the aftertaste lingers almost into its next sip, despite its dry finish.... medium-bodied but a live mouthful... the resin slays the tastebuds, massive and resounding with lemon, grapefruit and mango elbowing everything else out of the profile... light like a Belgian, sneaky with its ABV, great as a dessertif or a nightcap... one of the best one-dimensional offerings I have had, singular in its mission and massive in its effect....

 "," DATE : September 23 , 2018 ... OCCASION : sampling another Jeff 's Vermont pickups -- FYI , one 8 % ABV ... GLASSWARE : Duvel tulip ... pours quite bright , hazy lemon-yellow body alive flecks sediment tiny , busy bubbles ... head nearly four fingers sudsy , soapy , cavernous white caves clinging glass -- almost attractive disturb sip ... prolonging , first sniff thick juicy resin , lemon citrus , pineapple , mango , papaya -- despite label , Crusher n't suggest semblance malt aroma ... though would loved experience 9.6 % ABV , 8 % glass plenty rousing , bitter , Pavlovian mouth-watering trigger ... . much , aftertaste lingers almost next sip , despite dry finish ... . medium-bodied live mouthful ... resin slays tastebuds , massive resounding lemon , grapefruit mango elbowing everything else profile ... light like Belgian , sneaky ABV , great dessertif nightcap ... one best one-dimensional offerings , singular mission massive effect ... .",0.8632665330655387
10,Darkstar November,4.67,"

2014 Edition, bottle #114.

Black pour at 54 degrees with grey/ruby edges when held up to the light; fizzy grayish tan head with some retention of swirls of micro dot bubbles/cap; solid ring, sudsy lacing; medium thick legs. Chocolate, coconut, molasses, rye nose; bourbon on exhale. Bourbon, molasses, rye, chocolate, oak, vanilla, dark stone fruits - cherries and plums; caramel malt sweetness as liquid warms; molasses finish. Velvety smooth, medium full feel with a dry tongue coating; moderate minus carbonation; face flushing warmth from 13.7%. Overall, very satisfying; no oxidation or off flavors on this 4 1/2 years old stout; the bourbon/barrel notes are somewhat subdued but present; the rye drys the tongue, but not aggressively; nice balance of semi sweet malt and fruit with barrel flavors; tasty long molasses linger; World Class!

 "," 2014 Edition , bottle # 114 . Black pour 54 degrees grey/ruby edges held light ; fizzy grayish tan head retention swirls micro dot bubbles/cap ; solid ring , sudsy lacing ; medium thick legs . Chocolate , coconut , molasses , rye nose ; bourbon exhale . Bourbon , molasses , rye , chocolate , oak , vanilla , dark stone fruits - cherries plums ; caramel malt sweetness liquid warms ; molasses finish . Velvety smooth , medium full feel dry tongue coating ; moderate minus carbonation ; face flushing warmth 13.7 % . Overall , satisfying ; oxidation flavors 4 1/2 years old stout ; bourbon/barrel notes somewhat subdued present ; rye drys tongue , aggressively ; nice balance semi sweet malt fruit barrel flavors ; tasty long molasses linger ; World Class !",0.8621394483899522
11,Consecration,4.45,"

A - Very dark amber; reddish 3/4 inch head that dissipates quickly; active bubbling.

S - Wine; cherries; prunes.

T - Sour cherries and grapefruit, but sourness not overly powerful; mild bitterness.

M - Medium body; crisp from carbonation and medium booziness.

O - Tons of flavor; fantastic smell; very palatable sour for non-sour drinkers.

 "," - dark amber ; reddish 3/4 inch head dissipates quickly ; active bubbling . - Wine ; cherries ; prunes . - Sour cherries grapefruit , sourness overly powerful ; mild bitterness . - Medium body ; crisp carbonation medium booziness . - Tons flavor ; fantastic smell ; palatable sour non-sour drinkers .",0.861422593255951
12,No Rules,4.68,"

Dark brown/black with two plus fingers mocha head.
Smells of sweet brown sugars, coconut, sweet roasty grains.
Taste follows, sweet, toffee, brown sugar, coconut, nice barrel notes.
Full bodied, smooth, creamy.
Overall an excellent porter, hides the 15% quite well

 "," Dark brown/black two plus fingers mocha head . Smells sweet brown sugars , coconut , sweet roasty grains . Taste follows , sweet , toffee , brown sugar , coconut , nice barrel notes . Full bodied , smooth , creamy . Overall excellent porter , hides 15 % quite well",0.8602814275027861
