,beer_name,rating,link
0,Kentucky Brunch Brand Stout,4.9,https://www.beeradvocate.com/beer/profile/23222/78820/
1,Marshmallow Handjee,4.81,https://www.beeradvocate.com/beer/profile/26/42349/
2,Hunahpu's Imperial Stout - Double Barrel Aged,4.79,https://www.beeradvocate.com/beer/profile/17981/110635/
3,Barrel-Aged Abraxas,4.79,https://www.beeradvocate.com/beer/profile/25888/87246/
4,Heady Topper,4.76,https://www.beeradvocate.com/beer/profile/46317/16814/
5,King Julius,4.77,https://www.beeradvocate.com/beer/profile/28743/87846/
6,Pliny The Younger,4.75,https://www.beeradvocate.com/beer/profile/863/21690/
7,Mornin' Delight,4.76,https://www.beeradvocate.com/beer/profile/23222/76421/
8,Very Hazy,4.76,https://www.beeradvocate.com/beer/profile/28743/146770/
9,King JJJuliusss,4.78,https://www.beeradvocate.com/beer/profile/28743/237238/
10,SR-71,4.76,https://www.beeradvocate.com/beer/profile/23222/162502/
11,Fundamental Observation,4.72,https://www.beeradvocate.com/beer/profile/33824/172669/
12,CBS (Canadian Breakfast Stout),4.7,https://www.beeradvocate.com/beer/profile/1199/47658/
13,Juice Machine,4.72,https://www.beeradvocate.com/beer/profile/28743/207976/
14,Pliny The Elder,4.69,https://www.beeradvocate.com/beer/profile/863/7971/
15,Fou' Foune,4.69,https://www.beeradvocate.com/beer/profile/388/5281/
16,Assassin,4.7,https://www.beeradvocate.com/beer/profile/23222/78660/
17,Very Green,4.7,https://www.beeradvocate.com/beer/profile/28743/122114/
18,Julius,4.68,https://www.beeradvocate.com/beer/profile/28743/86237/
19,Double Sunshine,4.68,https://www.beeradvocate.com/beer/profile/17980/64545/
20,Zenne Y Frontera,4.76,https://www.beeradvocate.com/beer/profile/2216/188570/
21,Abner,4.67,https://www.beeradvocate.com/beer/profile/22511/58299/
22,Bourbon County Brand Stout,4.66,https://www.beeradvocate.com/beer/profile/1146/10672/
23,Trappist Westvleteren 12 (XII),4.66,https://www.beeradvocate.com/beer/profile/313/1545/
24,Dinner,4.66,https://www.beeradvocate.com/beer/profile/20681/115317/
25,Barrel Aged Imperial German Chocolate Cupcake Stout,4.75,https://www.beeradvocate.com/beer/profile/32409/271487/
26,KBS (Kentucky Breakfast Stout),4.65,https://www.beeradvocate.com/beer/profile/1199/19960/
27,Morning Wood,4.67,https://www.beeradvocate.com/beer/profile/31805/77563/
28,Parabola,4.65,https://www.beeradvocate.com/beer/profile/2210/41815/
29,Duck Duck Gooze,4.66,https://www.beeradvocate.com/beer/profile/18149/51116/
30,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,4.67,https://www.beeradvocate.com/beer/profile/396/123286/
31,JJJuliusss,4.68,https://www.beeradvocate.com/beer/profile/28743/174063/
32,Lou Pepe - Kriek,4.65,https://www.beeradvocate.com/beer/profile/388/3659/
33,Zombie Dust,4.63,https://www.beeradvocate.com/beer/profile/26/64228/
34,Bourbon County Brand Vanilla Stout,4.64,https://www.beeradvocate.com/beer/profile/1146/53980/
35,Doubleganger,4.65,https://www.beeradvocate.com/beer/profile/28743/259249/
36,Fuzzy,4.65,https://www.beeradvocate.com/beer/profile/32319/104649/
37,Westly,4.69,https://www.beeradvocate.com/beer/profile/28019/136652/
38,Double Citra®,4.63,https://www.beeradvocate.com/beer/profile/22511/69522/
39,Ann,4.68,https://www.beeradvocate.com/beer/profile/22511/81697/
40,Hunahpu's Imperial Stout,4.62,https://www.beeradvocate.com/beer/profile/17981/47022/
41,King Sue,4.62,https://www.beeradvocate.com/beer/profile/23222/113674/
42,Atrial Rubicite,4.62,https://www.beeradvocate.com/beer/profile/24018/94634/
43,Headroom,4.64,https://www.beeradvocate.com/beer/profile/30654/186936/
44,Double Galaxy,4.62,https://www.beeradvocate.com/beer/profile/22511/67760/
45,Very GGGreennn,4.79,https://www.beeradvocate.com/beer/profile/28743/420834/
46,Supplication,4.6,https://www.beeradvocate.com/beer/profile/863/22227/
47,Cable Car,4.62,https://www.beeradvocate.com/beer/profile/18149/38149/
48,Citra,4.61,https://www.beeradvocate.com/beer/profile/14064/56082/
49,Framboise Du Fermier,4.7,https://www.beeradvocate.com/beer/profile/32319/168050/
50,Focal Banger,4.6,https://www.beeradvocate.com/beer/profile/46317/111616/
51,Double Dry Hopped Congress Street,4.61,https://www.beeradvocate.com/beer/profile/30654/134064/
52,Green,4.6,https://www.beeradvocate.com/beer/profile/28743/88969/
53,Lou Pepe - Framboise,4.61,https://www.beeradvocate.com/beer/profile/388/13825/
54,Aaron,4.63,https://www.beeradvocate.com/beer/profile/22511/126517/
55,Sip Of Sunshine,4.59,https://www.beeradvocate.com/beer/profile/17980/117177/
56,Chemtrailmix,4.74,https://www.beeradvocate.com/beer/profile/26/345294/
57,Black Tuesday,4.59,https://www.beeradvocate.com/beer/profile/16866/51257/
58,Swish,4.6,https://www.beeradvocate.com/beer/profile/33519/123062/
59,BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),4.61,https://www.beeradvocate.com/beer/profile/26/30184/
60,Beer:Barrel:Time,4.72,https://www.beeradvocate.com/beer/profile/32319/275206/
61,Society & Solitude #4,4.6,https://www.beeradvocate.com/beer/profile/22511/83008/
62,Chocolate Rain,4.59,https://www.beeradvocate.com/beer/profile/16866/53728/
63,Beatification,4.59,https://www.beeradvocate.com/beer/profile/863/27992/
64,Oude Geuze Vintage,4.61,https://www.beeradvocate.com/beer/profile/2216/30517/
65,Maman,4.65,https://www.beeradvocate.com/beer/profile/25888/141394/
66,Fourth Dementia - Bourbon Barrel-Aged,4.59,https://www.beeradvocate.com/beer/profile/2097/34313/
67,Doppelganger,4.59,https://www.beeradvocate.com/beer/profile/28743/211516/
